Length;Prime;GenPrimeTime;ProbTestOnPrimeTime;TestOnCompTime
1250;21089577901677826467976611935450060441354862196069243830037911441092100356546462380403663083566843758018272118683330030413910060721529155495375469293224683654754540871523968351387450830102552115452130415722104678737955908692720584140813898682952779585232643015142220449844853654437881668972916383979622177686534868208017239609908499752641135276800374171724996010176488573181717;0.0444701740;0.0095961560;0.0000007990
1270;22368819516022718246900874725092438563354354506208301106755948919732249383472943054995854909913452525685500053471006361741682978525049250507409626246775152680778382509316545608647876476006359074315725442843431562142913118029947342667143723904134909675201227458376170269983438268808601495420364864247513233059316277921373035636083374631911196688002764857232914298648709472804524782779;0.1242358910;0.0096158940;0.0000009580
1290;32519629579977576738385784248122082525412510569128237414434176323850882597326649475662968780302107350945111533779579766678276489203719721654681174736608067306247050442894197923756273661610519644308498452549396970195933636774076203793379237685098239230969251560790484725888411479697823641375319455366901211580295397503106657826487330756370472279217272688699432380340194536668585439449863271;0.0036314020;0.0106919690;0.0000009360
1310;39875603108720963273021000353707690764765292080648066509685786771764275258760750237407311456154532806475039223159732543872063439949236520932084807724661595214141345195797429261222131827960946282846518358740189656516547018420722815316203612314342148463972138383048116374748212127138787805281626452924862518349585196749354332475450214861806344109864464709871021006226298115049182360669008915523213;0.0184719830;0.0104921500;0.0000007800
1330;29709013575754395487414170891789064789193128207256192902776520923850789177582329583356232011896885121082543603170059184789386286604923779193128459754793885981824650619731713069925027245921343450990273282812488150096965620684542950299513088256477003945675906125566990642769465027422228587388868565396989759262500245055445235871880792659553117121902019011346873546804998700291377577296295989640367626939;0.1477849430;0.0106518060;0.0000008390
1350;47390751801719095049383143896616990676185393343511212303310009671199029923067679277360526793264265037256596987337554500168914402983452049588519710141446662150389319898751598477548682959438558138356839158558175865738773838390637373620292767418037307046786890314572239986207729098397183873506149727292832854255783758592666367518447494223766129809177222076463438784040992238018889024256717159689504236351368003;0.0524149890;0.0124514400;0.0000007930
1370;26240964632547365409305287267347438222161493332731670882466049448098996068552129892494546347724779889860853016468818343812848768989962451262913378035453477147106565082525926550043755968949651598398120027999220372677284786505939426407113239765939170142994194993724597136648862415968415385506044011973039400682888130931824364931109001586177350293993689197408055874733294871264178545666873892413094018436563739196247;0.1612400450;0.0123897410;0.0000008300
1390;35784331161686177404008350473547172339794754567697141555805085381944128084183480094818700743609294609654524858797107095943367878314570750907138651369870312680715548179915149400267815543399455646841899708873788505008408449236283828546239025219818130292163392353855930763441559576067501705799274626940842698553951017565357758144049124314258096418291375868327441877646396950205381533630513386306339195670232158450511053367;0.0325793330;0.0126534850;0.0000008060
1410;41768639696922719896622551875895886852791084771483981483548933119249595935672769707415373073892232044745839826543503440893913176241133744476847490132475088021538752082216387361304706592299639194096710185642252740776290972176903736090413821983537290135473910200637667696372619342951366369397107297450959143555238178560027680834364311948098884582620059835189927162621396860739965037229340467311092388733791618844445547362000599;0.0356467010;0.0132509380;0.0000008150
1430;34918939431823301691894367668355724374947732995842402444587429361162733343120428598331758136857575858057708454739167714367181669779974196490701136269256452100478918415090771272859129336328453712883530950447473739105190443347860533813560872937494774439759660963193994614839989835246416791766020758495038842375850713692311645043995337849202915612202760966985571474902665028282894659117387621844749048632115144140305680393589965407829;0.0105742150;0.0133445080;0.0000006920
