Length;Fraction;S;T;Time
167;0.00000000000000003818138855988773424312909294237250093376002345726518928042910919505781624254231235349999895616386734744195173354351875965045306168188983337876247858261;226600346088312298179414840143888568992842859978548675569946502193;5934837747791396123888813085127306183203658988080136544423291660827590181434258714;2.781250
168;0.000000000000000085769563242630423008438776111596766697245090931580635973464546324421172697923340424550217045350505546111570102108510005018725028905213750722285697019103;52021915828694679635080788421202383246833115582400962893878273431035;606531196638273169549925424367896070118858902163747835668375373797748705551656954739;2.484375
169;0.0000000000000000527931716934095562762794193162088896386387534570785279210729235065940949989382504851379719866920373155987589400122225921957537530397225558551306156052737;82522430658684777089286878483965487550751414008823671801314710346473;1563126972895748133980478615758705068880618063699150574490318645790031735988618155323;2.359375
170;0.00000000000000000371974207257286286741098775414809732482549693327990546945827263855145186004710948276489705425215604172229928838977643344886092740223953748292912315817521;20473366615455152165856830057300855071430756936591626998063713494422;5503974796105736382359010842141324526655395145120454256827956513888196521758584085517;2.265625
171;0.000000000000000008165476479532364028767305708291033299099046282819718370076793349592676877498195615195799914893437158298009479953787856810520545050870613062732184295583947;118126439015511318346390207030747412844184023600788581339269432178642;14466570237708456049573605532609675366223968619460905326224311835922484636669789824973;2.765625
172;0.0000000000000000018273724834063877670454868120696355758466471085104529678997058873475877924119734654837430479263169323562676372431963025526966444154790945065130324894309913;22780954585646077898022397608404334973181946885381651806371742466328;12466508493758380265809406021150577267565675852961339107179050787502650885998856433093;2.156250
173;0.00000000000000000828670463457901464859556804282884082827732026754417845027523787737841807922875787547419577531390544636832154795188446523831764819130925511962776827354594427;1141040741461672854169083972030191144291000786142937160815383955035173;137695355606172221418352339354451831203548096376247403062193338479433662925504120916375;2.812500
174;0.000000000000000009099793219419504224932456393220781483455323412045554374046912486062861040611624504845558227219137834392561649606964953971900099863087274831182770631080148696;1023731527012520284720494845235980095019512841455962742880733383778702;112500526366666864213560640893312078605671700886404086718527941712875434520936658803979;2.421875
175;0.0000000000000000077700149502120767168676144788134396672537810058841336235040755528361377863305025759054733974688313759613945453401930814691422201051113572573414270728145079257;4570943096570381884677068825354553963923942630007566180769279163429363;588279832903747685725548465186934697468560598086216408470674531656213398039022763207652;2.515625
176;0.00000000000000000396534509940190186781977329595942352314044650187159695396231280358846305296677387094818386794480678081593795290279792201290148950969583065505039779355557860491;27764958146119662142974895602302417639052097960319749420871761360098833;7001902091776951949472320293119342592222827407412245575466634917642029247276958860603543;2.328125
