Length;Fraction;S;T;Time
430;0.0000000000000000000000000000000000000000000065332660620052056104940266407266851002138435087053563029937939302511833746719461282577842065056072444050662631755548998127792182979900642535197849198796956474486514988734577513379653402498042615610504870817280119103232281875626474370543738056826812662430205105801382845723891622138566893576957700259303761525953553668521026896258866167125249270049081001735695066236752566678645580044228;88923583211519670991985766287978754057151490895380455658317406640033788526308944527620669429057200253858217248813098509447335074235270568069201075671199945363119355320553;13610892678726608086242717705853043754664570253004774004995941547454080617726267412026874398033234903347325156827460925303680404208080149417719827428967601229619596612403676722292492012604618630109116793383079705987;21.703125
450;0.000000000000000000000000000000000000000000000650999387151998523107388596931191246808950468673317313427733655360956332996355147179965223709769569935818961845346415217548385231320008528871086322270847434446055372190888091678659805467640188494640929124399776679394546986826758682435662649242966225652957443492133733054512856018927384267630293992229494846342833783759149176252286155962689064066354188447324325124950685419192322291750998980180684550860546;71785618263829866243858865435840603116190882607063269257937424951318795932260423761562754106514235461749799754959086127655455752134259603051317583256560866338638948419821500996389;110269870725806088585907800993593414125395063490417054107921779191005065108883089134471468770707797116731867597059750900765885075832966979055529758572564290758403036040962206709942105268305752320207484648386662421648581320597;22.968750
470;0.00000000000000000000000000000000000000000000000293256357285489286888599429987831306634083766052073687948085724292015014005747752835978960901916014347969075549420973377053126424603527114965987840290582629698395701207656328558801945677183633835961194391926070938730868306853986056389605991754884117025688053437560610987953711731691427086497013119995935614395455037224305803065408848177809000204542168466628852769216076005584439636841155429240576044755918446510499587548602;7691487530554428221469006622535059273770148715499893766947978313997082097480357055983060754170821562531960830220443413469581310020281033047283486912939544568521997627285606288448183162139;2622786289016968981969076783923321077965735621172103623131669041034203404771632213237561126413166422755183079841336724627915852894554717524088962016655831217857518679005474321219970309969464509934312555563184068512855069819793819558396;23.890625
490;0.0000000000000000000000000000000000000000000000000627315959897408472088602391379331256206177056122610553312572171228094931414304873282398508351583716090531420159042605242385053297374988809730761242863983510962548531708046968522217859929695062523161022103550080164490925140215163082564245211505172373098449505124060199370560857910269095991147513984344017417509581270967884851351472464814866609799341407622862389373764130320234375207608689439330070723731591818388847212670834192211351108124450;3530375939272007965506828552131381646264467903848005040598599056667414245653721511646111387901671595360661428199365633973492434106616100782362107124611211787574743883840424021051585659796753259544;56277476821239606257040743159452331460913634530246515629735850414520322467139249795489438517755628403166839362652318666256708489421636352750520419851264044516606379817234074301866757080818383995821205044696299587994105405904031495884234310184757;25.984375
510;0.000000000000000000000000000000000000000000000000000553089072805989115379074472146271125858468585972197235279652835735979103828615691892988428617314975981552267379472493742196799462773129712663742256415323292979594290253190475908828544147591490607311860316841526043069563528506564225561360301437092522842858272203910154459926903568895691420787818335172515824081533585799244169268520128297688785459100618717107793603449659803864314312074849397157328597937501984621390728092094206646136458974416754023322398939755;15436556233483702472599660744803387023740179534146609103375352532527914722280607408263226124412331325768454493213594047396160966554589925104538715826265945649342659800427467598291229030113473559213729353;27909711098014207581786487215748759580454664360693126314696859457353640825421711390436282838713560479840606590725045449998220097233329769037903629905652164098654455523827350039521128559783001657252469314179416661781158586604861523100686257222362863443220;27.531250
530;0.00000000000000000000000000000000000000000000000000000295897041038273235607296642759607615025784192529302260925165474921971643175552908399244255362841266914346843847464663806116905811158349081938747076392698951700712694302223331023099265663488883513737406194624301358374712390828607816514057905394843880743320864697779255676450625366863491544439674763421959611836069094693613630752795331695838711435701786516991129530463289500818570474342540249463889193206088031249552982900674263436114129260989520740925358246831787250853061951740;19983860432630105720296504371010147400504848599572053214223159721328151791957872645650805984302714403642910224676033521328435771142957382415094791421079742978479112542902759658935508725666629736847344605969105306;6753653352702930226502813510375089098419547754642669927265811228962936672851222271077583164032952595087257793772811898420673734831798330737930787086825582206911474982514879477622325928016299599995044273000708306988330582793541456114420044374513155402682439729042835;31.359375
550;0.0000000000000000000000000000000000000000000000000000000390830814342646548209821406242066627119725130898416671028331263154534473432140789703136108331321496249221900952517131653034243625937639105819054884838750250152462455494929691306233905709901793415534975481363715110250107343118790592120347001831188335928345906245985187675943105460811744542907947056492551214332194935506173162046829681963987530054135737842804165837219712112135601530853226792961210080059812430200419653974894087756038094935478614739705446584787521776949311495502396988136009548749;9508026232830581518193716601322676081331512115853157219896789386939271982457658415872880842454420771544192004191488862917817575201054854482796794300794441425982441613301541194302546643471417103678390889849308367280397;243277292473023098578467343026844811004233306039473568068996219194086687025925420013390517005826024955974633370160226618572964802902759464166003717185588597021062069108784822275918914896286758801021887034067847489811486313046856017521495517871428788032823390590521737041827;34.781250
570;0.000000000000000000000000000000000000000000000000000000000983852153167305221502628367453778840358931709335736494009786522353791050936559619917594750320388594037795906876909179859040525807493401147106438010453594270823012575185316084875755024804954124790224770171785157437292252504088443352205043268815623891156818719920412800460039854544809897098492080730250702790064151297063636766332481719067133817913018303467325482793654641987601355686824653394892015594750901413298639951107692246932341801689576382145409118555430977911984792599476874962367188134848854410121020501087;651205164956167711369628129466298491979476119729592170098419251121637745803415157413369405972027716043785494833351487211117469111182029264765307764937663198860254806426068371202836932624257148546022507456767007592715266076069363;661893316856348337311477518674847154347402621482343892009294703192194439404071085312628533118165756820284684620835913752358156203122860431780436542633428687556631328543063618987341400516390330438591492679669806716084672399438178230862174080672012498848121025004341810384873681581826299;33.906250
590;0.00000000000000000000000000000000000000000000000000000000000052542429856610416653146291677770577033731517804193080821063854941580858115162917054276827958183793583095693898173686326087048181387895196695528162788050997336538392665914987442727209816227483984686875875717370969220161559646726869288440799841156732088931361015222042718334963322652245623857811000379678871523166421972828260794186107895184164757930449507496475585021702181266081182808852803735432545188401829762241742142947031617725377913824722274188173210915789173787465219997260251001098415095243001687170277645960558543363762796;1689216753816227230977482470419541190940228794211345953467366828996601630636047869547916020122144215107586192283565977560622557325125021113613696779421796085911688192206494069652273362555011177515935033368551075052787096883802100616128;3214957432357318262618130284958293849536362973391563928015673466850665589515945584561058072072407939471356311380144026636038883581681411683983937697845749174400656376942743906319937937008582769893723569104770547763095964533041465111563767007057367107542461987972187794595689163441754405400216681;39.687500
610;0.0000000000000000000000000000000000000000000000000000000000000750850736625170372545460675788169223821164786823711970790407796981821733693164885110369696895484268633160692033666486006987849780110349703270522901556739685966036213875997522703552652709557773655613530617384346485251630447246166633165568891470455547529802652589986300138688259714209817656533563557010373134960219888750903725235779011445956476800086783382638567061139501388679706014642822687929386066886733115040344424913712381415026607372008599195693934756526724882807716667407513396290706373005911222051881275501208720973062392933346654022539578946;4306048728481705999734680654829327203056504937406039377284002153121787056796688666093524672459186571272110245132948109196365500071894254694203792718687465093078624908824864170914876698432291586152857430106249849097895867863636888425035814149598;57348931264767658526298617319899331200426947197207703581194864747441968786944260494446607052084412916357751869467408915481298986000585302016714746864192015373213537559250601228486192309002643103868245015415938682082760487337622272519179814259442801802364022402390129607656355514531026733642256062114166173;41.375000
