Length;Input;Sum;Substract;Multipl;Divide1;Divide2;OutputToStr
2261;0.002260;0.000014;0.000010;0.000611;0.002033;0.002026;0.730840
2281;0.003236;0.000009;0.000022;0.000987;0.003114;0.002925;0.791114
2301;0.003350;0.000013;0.000013;0.000979;0.002735;0.002588;0.744642
2321;0.002504;0.000013;0.000011;0.000634;0.002421;0.002380;0.721908
2341;0.003605;0.000020;0.000017;0.001089;0.002669;0.002634;0.708385
2361;0.002470;0.000009;0.000009;0.000647;0.001887;0.002040;0.713705
2381;0.002990;0.000010;0.000010;0.000944;0.002671;0.002632;0.748397
2401;0.003478;0.000012;0.000014;0.001015;0.002202;0.002083;0.818034
2421;0.002754;0.000011;0.000010;0.000691;0.001585;0.001540;0.776426
2441;0.003233;0.000009;0.000011;0.001018;0.002842;0.002914;0.866471
2461;0.003840;0.000014;0.000015;0.001060;0.001954;0.002350;0.771233
2481;0.004172;0.000011;0.000011;0.000707;0.002326;0.002211;0.849814
2501;0.004012;0.000016;0.000014;0.001190;0.003322;0.003062;0.868660
2521;0.003460;0.000010;0.000012;0.001118;0.002463;0.002554;0.895030
2541;0.003969;0.000014;0.000012;0.001203;0.002644;0.002397;0.920454
2561;0.003731;0.000010;0.000012;0.001159;0.002290;0.002452;0.901604
2581;0.003848;0.000013;0.000018;0.001176;0.002482;0.002520;0.892704
2601;0.004706;0.000010;0.000013;0.000825;0.002186;0.002674;0.949446
2621;0.004583;0.000013;0.000019;0.001296;0.003238;0.002803;0.889311
2641;0.003250;0.000011;0.000010;0.000823;0.002359;0.002246;0.814153
2661;0.003292;0.000008;0.000009;0.000880;0.002488;0.002545;0.878221
2681;0.003495;0.000010;0.000010;0.000934;0.002413;0.002366;0.888126
2701;0.003209;0.000011;0.000011;0.000902;0.002839;0.002850;0.866889
2721;0.005246;0.000010;0.000012;0.001491;0.003025;0.003095;0.800807
2741;0.003328;0.000014;0.000013;0.001011;0.002206;0.002109;0.780199
2761;0.003403;0.000014;0.000013;0.000860;0.001992;0.002089;0.790391
2781;0.003845;0.000007;0.000009;0.000895;0.002414;0.002690;0.931408
2801;0.005465;0.000012;0.000013;0.001097;0.002569;0.003262;1.084472
2821;0.003638;0.000015;0.000013;0.000978;0.002629;0.002571;0.966146
2841;0.004662;0.000017;0.000016;0.001460;0.003881;0.003624;1.042099
2861;0.003755;0.000018;0.000026;0.000978;0.003564;0.003476;1.087280
2881;0.008646;0.000018;0.000019;0.001553;0.002580;0.002883;1.148979
2901;0.005433;0.000023;0.000021;0.001556;0.004396;0.003913;0.943187
2921;0.003843;0.000019;0.000013;0.001122;0.002618;0.002367;0.874719
2941;0.003843;0.000024;0.000013;0.000993;0.002678;0.002597;0.927735
2961;0.004144;0.000009;0.000010;0.001095;0.003541;0.003598;0.943626
